FIMAABSDE31XXXAACHENER BAUSPARKASSE AG                                                                                 AABSDE31                                                              AACHEN                        NSWBTHEATERSTRASSE 92-94                                                                                                                        
FIMAACBFR21XXXSOC ALSACIENNE DE CREDIT BAIL IMMOBILIER                                                                 AACBFR21                                                              STRASBOURG                    NSWB7 PLACE SEBASTIEN BRANT                                                                                                                     
FIMAAFAFRP1XXXLA FINANCIERE DESSELLIGNY SA                                                                             AAFAFRP1                                                              PARIS                         NSWB8 RUE DE L'ARCADE                                                                                                                           
FIMAAIAATW1XXXVALARTIS ASSET MANAGEMENT (AUSTRIA) KAPITALANLAGEGESELLSCHAFT M.B.H                                      AAIAATW1                                                              VIENNA                        NSWBRATHAUSSTRASSE 20                                                                                                                           
FIMAAOAIT21XXXCARRARO S.P.A.                                                                                           AAOAIT21                                                              CAMPODARSEGO                  NSWBVIA OLMO 37                                                                                                                                 
FIMAARIDE61XXXSCHRODER REAL ESTATE KAPITALVERWALTUNGSGESELLSCHAFT MBH                                                  AARIDE61                                                              WIESBADEN                     NSWBWILHELMSTRASSE 7                                                                                                                            
FIMAASFFRP1XXXUNIGRAINS CREDITS                                                                                        AASFFRP1                                                              PARIS                         NSWB23 AVENUE DE NEUILLY                                                                                                                        
FIMAATAATW1XXXAIRPLUS AIR TRAVEL CARD VERTRIEBSGESELLSCHAFT M.B.H                                                      AATAATW1                                                              VIENNA                        NSWBRAINERGASSE 1                                                                                                                               
FIMAATTITG1XXXHITACHI RAIL STS S.P.A.                                                                                  AATTITG1                                                              GENOVA                        NSWBVIA PAOLO MANTOVANI 3/5                                                                                                                     
FIMAAXXZAJJSLBA2X PROPRIETARY LIMITED                                                                                  AAXXZAJJ                                                              JOHANNESBURG                  SUPEKATHERINE TOWERS                   FLOOR 6                            1 PARK LANE                        WIERDA VALLEY                      
FIMAAXXZAJJXXXA2X PROPRIETARY LIMITED                                                                                  AAXXZAJJ                                                              JOHANNESBURG                  SUPEKATHERINE TOWERS                   FLOOR 6                            1 PARK LANE                        WIERDA VALLEY                      
FIMABEGFRP1XXXCPR ASSET MANAGEMENT                                                                                     ABEGFRP1                                                              PARIS                         NSWB168 RUE DE RIVOLI                                                                                                                           
FIMABMLITM1XXX2019 POPOLARE BARI SME S.R.L.                                                                            ABMLITM1                                                              MILANO                        NSWBVIA V ALFIERI 1                                                                                                                             
FIAABNGMZMAXXXACCESS BANK MOZAMBIQUE, SA                                                                               ABNGMZMA                                                              MAPUTO                        NSWBHOLLARD BUILDING                   KPMG OFFICE                        1233 STREET 72/C                                                      
FIAABNNSVS2XXXBANCO ABANK,S.A.                                                                                         ABNNSVS2                                                              SAN SALVADOR                  NSWBTORRE QUATTRO                      FLOOR 8                                                                                                  
FIMABOOFIH1XXXEAB VARAINHOITO OY                                                                                       ABOOFIH1                                                              HELSINKI                      NSWBPOHJOISESPLANADI 37 A                                                                                                                       
FIMABPIGB21XXXABERDEEN ASSET MANAGERS LIMITED                                                                          ABPIGB21                                                              LONDON                        NSWBCHARLES HOUSE                      5-11 REGENT STREET                                                                                       
FIMABRNIE21XXXPEOPLE FIRST CREDIT UNION LIMITED                                                                        ABRNIE21                                                              PORTLAOISE                    NSWBJAMES FINTAN LALOR AVENUE                                                                                                                   
FIMABRRIT21XXX2019 POPOLARE BARI RMBS S.R.L.                                                                           ABRRIT21                                                              CONEGLIANO                    NSWBVIA V ALFIERI 1                                                                                                                             
FIMABSAZAJ2XXXABSA STOCKBROKERS AND PORTFOLIO MANAGEMENT (PTY) LTD                                                     ABSAZAJ2                                                              JOHANNESBURG                  SUPE65 EMPIRE ROAD                                                                                                                              
FIMABSRNOK1XXXABG SUNDAL COLLIER ASA                                                                                   ABSRNOK1                                                              OSLO                          NSWBSTRANDEN 1                         AKER BRYGGE                                                                                              
FIMABVRATW1XXXVB VERBUND-BETEILIGUNG EG                                                                                ABVRATW1                                                              VIENNA                        NSWBLIECHTENSTEINSTRASSE 111-115                                                                                                                
FIMACBANO21XXXSANDNES SPAREBANK                                                                                        ACBANO21                                                              STAVANGER                     NSWBBOREHAVGEN 1                                                                                                                                
FIAACBLINBBTRYABHYUDAYA CO-OPERATIVE BANK LTD.                                                                         ACBLINBB                                                              MUMBAI                        SUPEABHYUDAYA BANK BLDG,               BLDG NO. 71                        NEHRU NAGAR, KURLA                                                    
FIMACBNIT21XXXLIVENZA TAGLIAMENTO ACQUE S.P.A.                                                                         ACBNIT21                                                              ANNONE VENETO                 NSWBVIALE TRIESTE 11                                                                                                                            
FIMACCUIE21XXXFIRST CHOICE CREDIT UNION LIMITED                                                                        ACCUIE21                                                              ACHILL                        NSWBACHILL SOUND                       CO MAYO                                                                                                  
FIDACHTCNB1XXXANKANG CITY HANBIN DISTRICT RURAL CREDIT COOPERATIVES                                                    ACHTCNB1                                                              ANKANG                        NSWBRURAL CREDIT COOPERATIVES          FLOOR 7                            2 SOUTH BRIDGE ROAD                                                   
FIMACROFRP1XXXFINANCIERE DE L'ECHIQUIER                                                                                ACROFRP1                                                              PARIS                         NSWB173 BOULEVARD HAUSSMANN                                                                                                                     
FIDACTUGB22AGIACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22BAWACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22BCCACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22BDLACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22BKDACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22BSYACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22CADACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
